rendimento_real,data_pagamento, data_base, cotacao, rendimento_percentual
1.01,20/04/2021,13/04/2021,103.40,0.977
1.05,17/03/2021,10/03/2021,100.07,1.049
1.05,19/02/2021,10/02/2021,103.19,1.018
1.00,20/01/2021,13/01/2021,103.17,0.969
1.05,17/12/2020,10/12/2020,97.74,1.074
0.90,17/11/2020,10/11/2020,98.49,0.914
0.72,20/10/2020,13/10/2020,99.89,0.721
0.75,18/09/2020,11/09/2020,96.34,0.778
0.72,19/08/2020,12/08/2020,96.30,0.748
0.67,21/07/2020,14/07/2020,103.12,0.650
0.65,22/06/2020,15/06/2020,95.10,0.683
0.65,22/05/2020,15/05/2020,96.18,0.676
0.65,23/04/2020,15/04/2020,91.99,0.707
0.65,14/02/2020,31/01/2020,107.75,0.603
0.63,15/01/2020,30/12/2019,115.44,0.546
0.65,13/12/2019,29/11/2019,107.50,0.605
0.65,14/11/2019,31/10/2019,106.65,0.609
0.70,14/10/2019,30/09/2019,106.00,0.660
0.75,13/09/2019,30/08/2019,101.00,0.743
0.75,14/08/2019,31/07/2019,112.00,0.670
0.80,12/07/2019,28/06/2019,105.19,0.761
0.75,14/06/2019,31/05/2019,99.62,0.753
0.67,15/05/2019,30/04/2019,100.50,0.667
0.65,12/04/2019,29/03/2019,101.00,0.644
0.65,18/03/2019,28/02/2019,101.10,0.643
0.65,14/02/2019,31/01/2019,102.76,0.633
1.15,15/01/2019,28/12/2018,102.20,1.125
0.80,14/12/2018,30/11/2018,101.91,0.785
0.80,16/11/2018,31/10/2018,103.09,0.776
0.78,15/10/2018,28/09/2018,99.91,0.781
0.80,14/09/2018,31/08/2018,100.00,0.800
0.85,14/08/2018,31/07/2018,98.95,0.859
0.80,13/07/2018,29/06/2018,99.63,0.803
0.70,14/06/2018,30/05/2018,99.55,0.703
0.80,15/05/2018,30/04/2018,99.49,0.804
0.75,13/04/2018,29/03/2018,98.50,0.761
0.70,14/03/2018,28/02/2018,98.79,0.709
0.72,16/02/2018,31/01/2018,98.60,0.730
0.72,15/01/2018,28/12/2017,98.98,0.727
0.85,14/12/2017,30/11/2017,98.90,0.859
0.75,16/11/2017,31/10/2017,99.00,0.758
0.75,14/11/2017,31/10/2017,99.00,0.758
0.72,16/10/2017,29/09/2017,99.01,0.727
0.72,14/09/2017,31/08/2017,99.52,0.723
0.85,14/08/2017,31/07/2017,98.49,0.863
0.80,14/07/2017,30/06/2017,96.15,0.832
0.70,14/06/2017,31/05/2017,99.49,0.704
1.00,15/05/2017,28/04/2017,100.00,1.000
1.10,17/04/2017,31/03/2017,100.00,1.100
1.05,14/03/2017,24/02/2017,101.00,1.040
1.00,14/02/2017,31/01/2017,100.00,1.000
0.80,13/01/2017,29/12/2016,99.00,0.808
0.65,13/01/2017,29/12/2016,99.00,0.657
0.90,14/12/2016,30/11/2016,100.41,0.896
0.81,16/11/2016,31/10/2016,108.73,0.745
1.25,17/10/2016,30/09/2016,105.99,1.179
1.30,15/09/2016,31/08/2016,104.50,1.244
1.30,12/08/2016,29/07/2016,101.97,1.275
1.30,14/07/2016,30/06/2016,102.50,1.268